timestamp(s),nodeId,src,seq,dst,ttl,hops,rssi(dBm),battery(mV),score,sf,energyJ,energyFrac,forwarded,ok
244.600531278,5,5,14,3,63,0,0,4200,75,8,38878.423362241,0.999959449,0,1
244.686673106,8,8,11,4,63,0,0,4200,75,8,38878.537498462,0.999962384,0,1
245.285564319,4,4,10,0,63,0,0,4200,75,8,38878.110151213,0.999951393,0,1
248.473097285,2,2,5,65535,63,0,0,4200,0,8,38878.568493877,0.999963181,0,1
248.722219627,5,5,5,65535,63,0,0,4200,0,7,38878.371614369,0.999958118,0,1
248.970359947,8,8,5,65535,63,0,0,4200,0,8,38878.466919278,0.999960569,0,1
249.035127545,7,7,10,0,63,0,0,4200,75,8,38878.542385946,0.999962510,0,1
249.264742471,3,3,9,8,63,0,0,4200,75,8,38878.376707893,0.999958249,0,1
249.404519791,2,3,9,8,62,1,0,4200,72,8,38878.499121509,0.999961397,1,1
249.754940824,4,4,5,65535,63,0,0,4200,0,7,38878.035814173,0.999949481,0,1
250.493470961,1,1,11,7,63,0,0,4200,75,8,38878.251677902,0.999955033,0,1
250.633247551,4,1,11,7,62,1,0,4200,72,8,38877.966460927,0.999947697,1,1
251.363189829,6,6,5,65535,63,0,0,4200,0,7,38878.461946371,0.999960441,0,1
251.877940882,0,0,8,5,63,0,0,4200,75,8,38878.745785509,0.999967741,0,1
252.017717717,4,0,8,5,62,1,0,4200,72,8,38877.896925461,0.999945909,1,1
252.144748858,2,2,11,1,63,0,0,4200,75,8,38878.415287794,0.999959241,0,1
252.813150705,7,7,5,65535,63,0,0,4200,0,8,38878.435714626,0.999959766,0,1
254.213289177,6,6,10,2,63,0,0,4200,75,8,38878.382676496,0.999958402,0,1
254.353065767,3,6,10,2,62,1,0,4200,72,8,38878.251704256,0.999955034,1,1
254.600531278,5,5,15,2,63,0,0,4200,75,8,38878.246326337,0.999954895,0,1
254.686673106,8,8,12,1,63,0,0,4200,75,8,38878.364153565,0.999957926,0,1
255.285564319,4,4,11,6,63,0,0,4200,75,8,38877.808851373,0.999943643,0,1
259.035127545,7,7,11,3,63,0,0,4200,75,8,38878.347130010,0.999957488,0,1
259.174904135,6,7,11,3,62,1,0,4200,72,8,38878.303199434,0.999956358,1,1
259.264742471,3,3,10,6,63,0,0,4200,75,8,38878.172245172,0.999952990,0,1
260.493470961,1,1,12,4,63,0,0,4200,75,8,38878.126564942,0.999951815,0,1
261.877940882,0,0,9,3,63,0,0,4200,75,8,38878.655840805,0.999965428,0,1
262.017717717,4,0,9,3,62,1,0,4200,72,8,38877.720083093,0.999941360,1,1
262.144748858,2,2,12,8,63,0,0,4200,75,8,38878.316689266,0.999956705,0,1
264.213289177,6,6,11,2,63,0,0,4200,75,8,38878.215040912,0.999954091,0,1
264.353065767,3,6,11,2,62,1,0,4200,72,8,38878.075414848,0.999950499,1,1
264.600531278,5,5,16,7,63,0,0,4200,75,8,38878.147727809,0.999952359,0,1
264.686673106,8,8,13,5,63,0,0,4200,75,8,38878.274208861,0.999955612,0,1
265.285564319,4,4,12,6,63,0,0,4200,75,8,38877.641215789,0.999939332,0,1
269.035127545,7,7,12,1,63,0,0,4200,75,8,38878.257185306,0.999955175,0,1
269.174904380,5,7,12,1,62,1,0,4200,72,8,38878.068390154,0.999950319,1,1
269.264742471,3,3,11,0,63,0,0,4200,75,8,38877.987301940,0.999948233,0,1
270.493470961,1,1,13,8,63,0,0,4200,75,8,38878.019312590,0.999949056,0,1
270.633247551,4,1,13,8,62,1,0,4200,72,8,38877.561599743,0.999937284,1,1
271.877940882,0,0,10,3,63,0,0,4200,75,8,38878.557242277,0.999962892,0,1
272.144748858,2,2,13,4,63,0,0,4200,75,8,38878.218090738,0.999954169,0,1
274.213289177,6,6,12,0,63,0,0,4200,75,8,38878.099134736,0.999951109,0,1
274.600531278,5,5,17,1,63,0,0,4200,75,8,38877.988746049,0.999948270,0,1
274.686673106,8,8,14,0,63,0,0,4200,75,8,38878.175610333,0.999953076,0,1
275.285564319,4,4,13,7,63,0,0,4200,75,8,38877.482234029,0.999935243,0,1
279.035127545,7,7,13,2,63,0,0,4200,75,8,38878.167240602,0.999952861,0,1
279.174904135,4,7,13,2,62,1,0,4200,72,8,38877.411796810,0.999933431,1,1
279.264742471,3,3,12,2,63,0,0,4200,75,8,38877.871395764,0.999945252,0,1
280.493470961,1,1,14,5,63,0,0,4200,75,8,38877.903406414,0.999946075,0,1
281.877940882,0,0,11,6,63,0,0,4200,75,8,38878.467297573,0.999960579,0,1
282.017717717,4,0,11,6,62,1,0,4200,72,8,38877.333082517,0.999931406,1,1
282.144748858,2,2,14,1,63,0,0,4200,75,8,38878.102184562,0.999951188,0,1
284.213289177,6,6,13,2,63,0,0,4200,75,8,38878.000536208,0.999948573,0,1
284.353065767,3,6,13,2,62,1,0,4200,72,8,38877.783219264,0.999942984,1,1
284.600531278,5,5,18,2,63,0,0,4200,75,8,38877.898801345,0.999945957,0,1
284.686673106,8,8,15,3,63,0,0,4200,75,8,38878.085665629,0.999950763,0,1
285.285564319,4,4,14,2,63,0,0,4200,75,8,38877.254215213,0.999929378,0,1
289.035127545,7,7,14,3,63,0,0,4200,75,8,38878.051334426,0.999949880,0,1
289.174904135,6,7,14,3,62,1,0,4200,72,8,38877.903751498,0.999946084,1,1
289.264742471,3,3,13,4,63,0,0,4200,75,8,38877.703760180,0.999940940,0,1
290.493470961,1,1,15,7,63,0,0,4200,75,8,38877.804807886,0.999943539,0,1
290.633247551,4,1,15,7,62,1,0,4200,72,8,38877.174599167,0.999927330,1,1
291.877940882,0,0,12,8,63,0,0,4200,75,8,38878.360045221,0.999957820,0,1
292.144748858,2,2,15,3,63,0,0,4200,75,8,38877.986278386,0.999948207,0,1
294.213289177,6,6,14,4,63,0,0,4200,75,8,38877.832900624,0.999944262,0,1
294.353065767,7,6,14,4,62,1,0,4200,72,8,38877.980382912,0.999948055,1,1
294.600531278,5,5,19,3,63,0,0,4200,75,8,38877.774241345,0.999942753,0,1
294.686673106,8,8,16,3,63,0,0,4200,75,8,38877.987067101,0.999948227,0,1
295.285564319,4,4,15,3,63,0,0,4200,75,8,38877.086579629,0.999925066,0,1
299.035127545,7,7,15,4,63,0,0,4200,75,8,38877.909660314,0.999946236,0,1
299.264742471,3,3,14,7,63,0,0,4200,75,8,38877.570546356,0.999937514,0,1
300.493470961,1,1,16,2,63,0,0,4200,75,8,38877.688901710,0.999940558,0,1
301.877940882,0,0,13,5,63,0,0,4200,75,8,38878.252792869,0.999955062,0,1
302.144748858,2,2,16,8,63,0,0,4200,75,8,38877.887679858,0.999945671,0,1
302.414766730,0,0,6,65535,63,0,0,4200,0,7,38878.220196156,0.999954223,0,1
302.807546093,1,1,6,65535,63,0,0,4200,0,7,38877.638357539,0.999939258,0,1
303.595940747,3,3,6,65535,63,0,0,4200,0,7,38877.514119669,0.999936063,0,1
304.213289177,6,6,15,2,63,0,0,4200,75,8,38877.720491920,0.999941371,0,1
304.353065767,3,6,15,2,62,1,0,4200,72,8,38877.444810048,0.999934280,1,1
304.600531278,5,5,20,3,63,0,0,4200,75,8,38877.653178816,0.999939639,0,1
304.686673106,8,8,17,3,63,0,0,4200,75,8,38877.874658397,0.999945336,0,1
305.285564319,4,4,16,7,63,0,0,4200,75,8,38876.955204397,0.999921687,0,1
308.473097285,2,2,6,65535,63,0,0,4200,0,8,38877.811208245,0.999943704,0,1
308.722219627,5,5,6,65535,63,0,0,4200,0,8,38877.573451169,0.999937589,0,1
308.970359947,8,8,6,65535,63,0,0,4200,0,8,38877.794872430,0.999943284,0,1
309.035127545,7,7,16,1,63,0,0,4200,75,8,38877.788044826,0.999943108,0,1
309.264742471,3,3,15,4,63,0,0,4200,75,8,38877.365350964,0.999932236,0,1
309.754940824,4,4,6,65535,63,0,0,4200,0,8,38876.866144797,0.999919397,0,1
310.493470961,1,1,17,7,63,0,0,4200,75,8,38877.525675982,0.999936360,0,1
310.633247551,4,1,17,7,62,1,0,4200,72,8,38876.796791551,0.999917613,1,1
311.363189829,6,6,6,65535,63,0,0,4200,0,7,38877.641692419,0.999939344,0,1
311.877940882,0,0,14,8,63,0,0,4200,75,8,38878.093064613,0.999950953,0,1
312.017717717,4,0,14,8,62,1,0,4200,72,8,38876.727256085,0.999915824,1,1
312.144748858,2,2,17,5,63,0,0,4200,75,8,38877.713782002,0.999941198,0,1
312.813150705,7,7,6,65535,63,0,0,4200,0,8,38877.677323074,0.999940260,0,1
314.213289177,6,6,16,2,63,0,0,4200,75,8,38877.553768720,0.999937083,0,1
314.353065767,3,6,16,2,62,1,0,4200,72,8,38877.241453248,0.999929050,1,1
314.600531278,5,5,21,7,63,0,0,4200,75,8,38877.443559744,0.999934248,0,1
314.686673106,8,8,18,4,63,0,0,4200,75,8,38877.679402461,0.999940314,0,1
315.285564319,4,4,17,2,63,0,0,4200,75,8,38876.639181997,0.999913559,0,1
319.035127545,7,7,17,5,63,0,0,4200,75,8,38877.597392282,0.999938205,0,1
319.264742471,3,3,16,1,63,0,0,4200,75,8,38877.161994164,0.999927006,0,1
320.493470961,1,1,18,5,63,0,0,4200,75,8,38877.400563022,0.999933142,0,1
321.877940882,0,0,15,8,63,0,0,4200,75,8,38878.003119909,0.999948640,0,1
322.017717717,4,0,15,8,62,1,0,4200,72,8,38876.541759893,0.999911053,1,1
322.144748858,2,2,18,8,63,0,0,4200,75,8,38877.632491122,0.999939107,0,1
