timestamp(s),nodeId,destination,nextHop,hops,score,seq,action
679.264742471,3,2,2,1,1,3,USED
680.493470961,1,2,2,1,1,11,USED
681.877940882,0,1,1,1,1,11,USED
682.144748858,2,6,4,2,2,10,USED
684.213289177,6,5,3,2,3,11,USED
684.600531278,5,1,1,1,1,9,USED
684.686673106,8,6,6,1,1,9,USED
685.285564319,4,8,8,1,1,11,USED
689.035127545,7,1,1,1,1,11,USED
689.264742471,3,4,4,1,1,11,USED
690.493470961,1,5,5,1,1,11,USED
691.877940882,0,5,5,1,1,10,USED
692.144748858,2,8,8,1,1,10,USED
694.213289177,6,3,3,1,1,11,USED
694.600531278,5,6,6,1,1,9,USED
694.686673106,8,5,5,1,1,10,USED
695.285564319,4,3,3,1,1,11,USED
699.035127545,7,8,4,2,2,11,USED
699.264742471,3,0,0,1,1,11,USED
700.493470961,1,3,3,1,1,11,USED
701.877940882,0,2,2,1,1,10,USED
702.144748858,2,6,4,2,2,10,USED
704.213289177,6,3,3,1,1,11,USED
704.600531278,5,4,4,1,1,11,USED
704.686673106,8,4,4,1,1,10,USED
705.285564319,4,3,3,1,1,11,USED
709.035127545,7,2,1,2,2,11,USED
709.264742471,3,5,4,2,2,11,USED
710.493470961,1,0,4,2,2,11,USED
711.877940882,0,8,3,2,2,11,USED
712.144748858,2,7,1,2,2,11,USED
714.213289177,6,1,3,2,3,11,USED
714.600531278,5,6,6,1,1,9,USED
714.686673106,8,2,2,1,1,10,USED
715.285564319,4,2,2,1,1,10,USED
719.035127545,7,1,1,1,1,11,USED
719.264742471,3,7,7,1,1,11,USED
720.493470961,1,2,2,1,1,11,USED
721.877940882,0,2,2,1,1,10,USED
722.144748858,2,1,1,1,1,11,USED
724.213289177,6,1,0,2,2,12,USED
724.600531278,5,8,8,1,1,11,USED
724.686673106,8,0,4,2,2,10,USED
725.285564319,4,0,0,1,1,11,USED
729.035127545,7,3,4,2,2,11,USED
729.264742471,3,4,4,1,1,11,USED
730.493470961,1,3,3,1,1,12,USED
731.877940882,0,8,3,2,2,12,USED
732.144748858,2,6,4,2,2,12,USED
734.213289177,6,2,3,2,2,12,USED
734.600531278,5,8,8,1,1,12,USED
734.686673106,8,1,1,1,1,12,USED
735.285564319,4,2,2,1,1,10,USED
739.035127545,7,3,4,2,2,12,USED
739.264742471,3,2,2,1,1,3,USED
740.493470961,1,5,5,1,1,11,USED
741.877940882,0,5,5,1,1,10,USED
742.144748858,2,7,7,1,1,12,USED
744.213289177,6,7,7,1,1,12,USED
744.600531278,5,8,8,1,1,12,USED
744.686673106,8,4,7,2,2,12,USED
745.285564319,4,0,0,1,1,11,USED
749.035127545,7,4,4,1,1,12,USED
749.264742471,3,7,7,1,1,12,USED
750.493470961,1,6,6,1,1,11,USED
751.877940882,0,6,4,2,2,12,USED
752.144748858,2,0,7,2,2,12,USED
754.213289177,6,5,5,1,1,12,USED
754.600531278,5,2,2,1,1,12,USED
754.686673106,8,7,7,1,1,12,USED
755.285564319,4,2,2,1,1,10,USED
759.035127545,7,5,6,2,2,12,USED
759.264742471,3,6,6,1,1,12,USED
760.493470961,1,5,5,1,1,11,USED
761.877940882,0,6,4,2,2,12,USED
762.144748858,2,0,7,2,2,12,USED
764.213289177,6,8,5,2,2,12,USED
764.600531278,5,6,6,1,1,9,USED
764.686673106,8,7,7,1,1,12,USED
765.285564319,4,6,6,1,1,12,USED
769.035127545,7,6,6,1,1,12,USED
769.264742471,3,8,8,1,1,9,USED
770.493470961,1,7,7,1,1,12,USED
771.877940882,0,5,5,1,1,10,USED
772.144748858,2,7,7,1,1,12,USED
774.213289177,6,5,5,1,1,12,USED
774.600531278,5,6,6,1,1,9,USED
774.686673106,8,0,7,2,2,12,USED
775.285564319,4,8,8,1,1,11,USED
779.035127545,7,5,6,2,2,12,USED
779.264742471,3,2,2,1,1,3,USED
780.493470961,1,3,3,1,1,12,USED
781.877940882,0,7,4,2,2,12,USED
782.144748858,2,8,8,1,1,10,USED
784.213289177,6,1,7,2,2,12,USED
784.600531278,5,2,2,1,1,12,USED
784.686673106,8,3,3,1,1,13,USED
785.285564319,4,1,5,2,2,12,USED
789.035127545,7,6,6,1,1,12,USED
789.264742471,3,5,4,2,2,11,USED
790.493470961,1,2,2,1,1,13,USED
791.877940882,0,8,3,2,2,12,USED
792.144748858,2,4,4,1,2,13,USED
794.213289177,6,4,7,2,2,12,USED
794.600531278,5,6,6,1,1,9,USED
794.686673106,8,4,7,2,2,13,USED
795.285564319,4,8,8,1,1,11,USED
799.035127545,7,8,5,2,2,13,USED
799.264742471,3,1,7,2,2,12,USED
800.493470961,1,7,7,1,1,12,USED
801.877940882,0,4,4,1,1,12,USED
802.144748858,2,5,5,1,1,13,USED
804.213289177,6,7,7,1,1,12,USED
804.600531278,5,3,8,2,2,13,USED
804.686673106,8,4,7,2,2,13,USED
805.285564319,4,1,7,2,2,13,USED
809.035127545,7,2,0,2,2,13,USED
809.264742471,3,2,0,2,2,13,USED
810.493470961,1,7,7,1,1,12,USED
811.877940882,0,3,3,1,1,12,USED
812.144748858,2,4,4,1,2,13,USED
814.213289177,6,5,5,1,1,12,USED
814.600531278,5,6,6,1,1,9,USED
814.686673106,8,1,1,1,1,12,USED
815.285564319,4,5,5,1,1,12,USED
819.035127545,7,4,4,1,1,13,USED
819.264742471,3,6,6,1,1,13,USED
820.493470961,1,0,0,1,1,13,USED
821.877940882,0,6,5,2,2,13,USED
822.144748858,2,0,1,2,2,13,USED
824.213289177,6,3,3,1,1,13,USED
824.600531278,5,7,7,1,1,13,USED
824.686673106,8,4,7,2,2,13,USED
825.285564319,4,2,2,1,1,10,USED
829.035127545,7,3,4,2,2,13,USED
829.264742471,3,5,6,2,2,13,USED
830.493470961,1,0,0,1,1,13,USED
831.877940882,0,2,2,1,1,10,USED
832.144748858,2,1,1,1,1,13,USED
834.213289177,6,8,5,2,2,12,USED
834.600531278,5,4,4,1,1,13,USED
834.686673106,8,1,1,1,1,12,USED
835.285564319,4,3,3,1,1,13,USED
839.035127545,7,6,6,1,1,13,USED
839.264742471,3,2,0,2,2,13,USED
840.493470961,1,2,2,1,1,13,USED
841.877940882,0,2,2,1,1,10,USED
842.144748858,2,7,7,1,1,12,USED
844.213289177,6,3,3,1,1,13,USED
844.600531278,5,6,6,1,1,9,USED
844.686673106,8,1,1,1,2,14,USED
845.285564319,4,2,2,1,1,10,USED
849.035127545,7,2,0,2,2,13,USED
849.264742471,3,7,7,1,1,12,USED
850.493470961,1,2,2,1,1,14,USED
851.877940882,0,8,4,2,2,14,USED
852.144748858,2,8,5,2,2,14,USED
854.213289177,6,7,7,1,1,14,USED
854.600531278,5,0,0,1,1,6,USED
854.686673106,8,2,5,2,2,14,USED
855.285564319,4,3,3,1,1,13,USED
859.035127545,7,5,5,1,1,13,USED
859.264742471,3,6,6,1,2,14,USED
860.493470961,1,4,4,1,1,13,USED
861.877940882,0,2,2,1,1,14,USED
862.144748858,2,5,5,1,1,14,USED
864.213289177,6,7,7,1,1,14,USED
864.600531278,5,2,2,1,1,14,USED
864.686673106,8,6,6,1,1,9,USED
865.285564319,4,5,5,1,1,12,USED
869.035127545,7,0,0,1,1,13,USED
869.264742471,3,6,6,1,2,14,USED
870.493470961,1,2,2,1,1,14,USED
871.877940882,0,8,4,2,2,14,USED
872.144748858,2,3,4,2,2,14,USED
874.213289177,6,2,3,2,2,13,USED
874.600531278,5,8,8,1,1,14,USED
874.686673106,8,4,4,1,1,14,USED
875.285564319,4,3,3,1,1,13,USED
879.035127545,7,5,5,1,1,13,USED
879.264742471,3,4,0,2,2,14,USED
880.493470961,1,8,4,2,2,13,USED
881.877940882,0,5,5,1,1,13,USED
882.144748858,2,7,7,1,1,12,USED
884.213289177,6,8,5,2,2,12,USED
884.600531278,5,1,1,1,1,13,USED
884.686673106,8,6,6,1,1,9,USED
885.285564319,4,7,7,1,1,13,USED
889.035127545,7,0,0,1,1,13,USED
889.264742471,3,4,0,2,2,14,USED
890.493470961,1,2,2,1,1,14,USED
891.877940882,0,5,5,1,1,13,USED
892.144748858,2,6,4,2,2,14,USED
894.213289177,6,3,3,1,1,13,USED
894.600531278,5,0,0,1,1,6,USED
894.686673106,8,7,7,1,1,13,USED
895.285564319,4,3,3,1,1,13,USED
899.035127545,7,5,5,1,1,13,USED
899.264742471,3,6,6,1,2,14,USED
900.493470961,1,3,3,1,1,13,USED
901.877940882,0,6,3,2,2,14,USED
902.144748858,2,0,1,2,2,14,USED
904.213289177,6,5,5,1,1,12,USED
904.600531278,5,0,0,1,1,15,USED
904.686673106,8,0,5,2,2,14,USED
905.285564319,4,8,8,1,1,14,USED
909.035127545,7,1,1,1,1,15,USED
909.264742471,3,8,8,1,1,9,USED
910.493470961,1,0,0,1,1,14,USED
911.877940882,0,3,3,1,1,15,USED
912.144748858,2,1,1,1,1,15,USED
914.213289177,6,1,1,1,1,14,USED
914.600531278,5,7,7,1,2,15,USED
914.686673106,8,3,3,1,1,13,USED
915.285564319,4,8,8,1,1,15,USED
919.035127545,7,3,3,1,1,14,USED
919.264742471,3,5,4,2,2,15,USED
920.493470961,1,7,7,1,1,12,USED
921.877940882,0,2,2,1,1,14,USED
922.144748858,2,0,1,2,2,15,USED
924.213289177,6,7,7,1,1,15,USED
924.600531278,5,6,6,1,1,9,USED
924.686673106,8,3,3,1,1,13,USED
925.285564319,4,3,3,1,1,15,USED
929.035127545,7,8,4,2,2,15,USED
929.264742471,3,1,1,1,1,15,USED
930.493470961,1,4,4,1,1,13,USED
931.877940882,0,5,5,1,1,13,USED
932.144748858,2,4,4,1,1,14,USED
934.213289177,6,5,5,1,2,15,USED
934.600531278,5,1,4,2,2,15,USED
934.686673106,8,6,6,1,1,9,USED
935.285564319,4,0,0,1,1,13,USED
939.035127545,7,4,4,1,1,15,USED
939.264742471,3,8,8,1,1,9,USED
940.493470961,1,7,7,1,1,12,USED
941.877940882,0,7,3,2,2,15,USED
942.144748858,2,1,1,1,1,15,USED
944.213289177,6,3,3,1,1,15,USED
944.600531278,5,2,2,1,1,14,USED
944.686673106,8,0,5,2,2,15,USED
945.285564319,4,6,6,1,1,15,USED
949.035127545,7,4,4,1,1,15,USED
949.264742471,3,7,7,1,1,15,USED
950.493470961,1,8,4,2,2,13,USED
951.877940882,0,7,3,2,2,15,USED
952.144748858,2,4,4,1,1,14,USED
954.213289177,6,3,3,1,1,15,USED
954.600531278,5,3,4,2,2,15,USED
954.686673106,8,2,5,2,2,15,USED
955.285564319,4,1,1,1,1,15,USED
959.035127545,7,4,4,1,1,15,USED
959.264742471,3,7,7,1,1,15,USED
960.493470961,1,0,0,1,1,14,USED
961.877940882,0,4,4,1,1,14,USED
962.144748858,2,5,5,1,1,15,USED
964.213289177,6,8,7,2,3,15,USED
964.600531278,5,1,4,2,2,15,USED
964.686673106,8,5,5,1,1,15,USED
965.285564319,4,3,3,1,1,15,USED
969.035127545,7,3,3,1,1,16,USED
969.264742471,3,5,0,2,2,16,USED
970.493470961,1,7,7,1,1,12,USED
971.877940882,0,1,1,1,1,16,USED
972.144748858,2,1,1,1,1,16,USED
974.213289177,6,0,0,1,1,12,USED
974.600531278,5,0,0,1,1,15,USED
974.686673106,8,6,6,1,1,9,USED
975.285564319,4,7,7,1,1,16,USED
979.035127545,7,5,5,1,1,16,USED
979.264742471,3,1,1,1,2,16,USED
980.493470961,1,3,3,1,1,16,USED
981.877940882,0,2,2,1,1,14,USED
982.144748858,2,6,8,2,2,15,USED
984.213289177,6,0,0,1,1,12,USED
984.600531278,5,2,2,1,1,16,USED
984.686673106,8,0,7,2,2,16,USED
985.285564319,4,0,7,2,2,16,USED
989.035127545,7,0,0,1,1,13,USED
989.264742471,3,5,0,2,2,16,USED
990.493470961,1,2,2,1,1,16,USED
991.877940882,0,3,3,1,1,16,USED
992.144748858,2,3,8,2,2,15,USED
994.213289177,6,3,3,1,1,15,USED
994.600531278,5,4,4,1,1,16,USED
994.686673106,8,3,3,1,1,13,USED
995.285564319,4,0,7,2,2,16,USED
999.035127545,7,3,3,1,1,16,USED
999.264742471,3,7,7,1,2,16,USED
1000.493470961,1,0,3,2,2,16,USED
1001.877940882,0,4,4,1,1,14,USED
1002.144748858,2,1,1,1,1,16,USED
1004.213289177,6,8,7,2,3,16,USED
1004.600531278,5,0,0,1,1,15,USED
1004.686673106,8,3,3,1,1,13,USED
1005.285564319,4,5,5,1,1,16,USED
1009.035127545,7,4,4,1,1,16,USED
