timestamp(s),src,dst,seq,hops,delay_gen_to_rx(s),delay_first_tx_to_rx(s),bytes,sf,delivered
564.492842602,6,1,41,1,0.279553425,0.279553425,20,12,1
565.425340909,4,7,42,0,0.139776590,0.139776590,20,12,1
569.174904135,7,4,42,0,0.139776590,0.139776590,20,12,1
570.633248282,1,8,43,0,0.139777321,0.139777321,20,12,1
572.017718063,0,2,40,0,0.139777181,0.139777181,20,12,1
572.284525448,2,1,43,0,0.139776590,0.139776590,20,12,1
574.353065767,6,3,42,0,0.139776590,0.139776590,20,12,1
574.740308113,5,7,47,0,0.139776835,0.139776835,20,12,1
575.425340909,4,7,43,0,0.139776590,0.139776590,20,12,1
579.174904865,7,0,43,0,0.139777320,0.139777320,20,12,1
579.404519061,3,0,42,0,0.139776590,0.139776590,20,12,1
580.633247551,1,4,44,0,0.139776590,0.139776590,20,12,1
582.284526178,2,3,44,0,0.139777320,0.139777320,20,12,1
584.353065767,6,3,43,0,0.139776590,0.139776590,20,12,1
585.425340909,4,1,44,0,0.139776590,0.139776590,20,12,1
589.174904865,7,0,44,0,0.139777320,0.139777320,20,12,1
589.404519061,3,6,43,0,0.139776590,0.139776590,20,12,1
592.157494553,0,8,42,1,0.279553671,0.279553671,20,12,1
594.740308459,5,3,49,0,0.139777181,0.139777181,20,12,1
600.633247796,1,5,46,0,0.139776835,0.139776835,20,12,1
602.017717472,0,1,43,0,0.139776590,0.139776590,20,12,1
602.284526039,2,0,46,0,0.139777181,0.139777181,20,12,1
604.353066012,6,4,45,0,0.139776835,0.139776835,20,12,1
604.740308113,5,1,50,0,0.139776835,0.139776835,20,12,1
605.425340909,4,1,46,0,0.139776590,0.139776590,20,12,1
609.174904380,7,3,46,0,0.139776835,0.139776835,20,12,1
609.404519306,3,7,45,0,0.139776835,0.139776835,20,12,1
610.633248282,1,8,47,0,0.139777321,0.139777321,20,12,1
614.353066358,6,8,46,0,0.139777181,0.139777181,20,12,1
619.174904135,7,4,47,0,0.139776590,0.139776590,20,12,1
619.404519306,3,1,46,0,0.139776835,0.139776835,20,12,1
620.633247551,1,4,48,0,0.139776590,0.139776590,20,12,1
622.284525448,2,5,48,0,0.139776590,0.139776590,20,12,1
624.353065767,6,3,47,0,0.139776590,0.139776590,20,12,1
624.740308598,5,0,52,0,0.139777320,0.139777320,20,12,1
625.425341154,4,2,48,0,0.139776835,0.139776835,20,12,1
629.404519061,3,6,47,0,0.139776590,0.139776590,20,12,1
630.633247796,1,5,49,0,0.139776835,0.139776835,20,12,1
634.492843087,6,2,48,1,0.279553910,0.279553910,20,12,1
634.826449942,8,4,50,0,0.139776836,0.139776836,20,12,1
639.174904865,7,0,49,0,0.139777320,0.139777320,20,12,1
640.633247551,1,4,50,0,0.139776590,0.139776590,20,12,1
642.017718202,0,7,47,0,0.139777320,0.139777320,20,12,1
644.353065767,6,3,49,0,0.139776590,0.139776590,20,12,1
645.425340909,4,5,50,0,0.139776590,0.139776590,20,12,1
649.174904137,7,8,50,0,0.139776592,0.139776592,20,12,1
650.633247551,1,2,51,0,0.139776590,0.139776590,20,12,1
652.017718202,0,5,48,0,0.139777320,0.139777320,20,12,1
654.353066497,6,1,50,0,0.139777320,0.139777320,20,12,1
654.740308459,5,3,55,0,0.139777181,0.139777181,20,12,1
655.425340909,4,3,51,0,0.139776590,0.139776590,20,12,1
660.633247796,1,3,52,0,0.139776835,0.139776835,20,12,1
662.017717472,0,3,49,0,0.139776590,0.139776590,20,12,1
662.284525448,2,5,52,0,0.139776590,0.139776590,20,12,1
664.492842602,6,1,51,1,0.279553425,0.279553425,20,12,1
665.425340909,4,1,52,0,0.139776590,0.139776590,20,12,1
669.174904865,7,0,52,0,0.139777320,0.139777320,20,12,1
670.633247551,1,2,53,0,0.139776590,0.139776590,20,12,1
672.017717472,0,1,50,0,0.139776590,0.139776590,20,12,1
672.284525693,2,4,53,0,0.139776835,0.139776835,20,12,1
674.353065767,6,3,52,0,0.139776590,0.139776590,20,12,1
675.425340909,4,1,53,0,0.139776590,0.139776590,20,12,1
679.174904135,7,6,53,0,0.139776590,0.139776590,20,12,1
680.633247551,1,2,54,0,0.139776590,0.139776590,20,12,1
682.017717472,0,1,51,0,0.139776590,0.139776590,20,12,1
682.424302528,2,6,54,1,0.279553670,0.279553670,20,12,1
684.353066497,6,5,53,0,0.139777320,0.139777320,20,12,1
684.826450287,8,6,55,0,0.139777181,0.139777181,20,12,1
685.425341155,4,8,54,0,0.139776836,0.139776836,20,12,1
689.404519061,3,4,53,0,0.139776590,0.139776590,20,12,1
690.633247796,1,5,55,0,0.139776835,0.139776835,20,12,1
692.017718202,0,5,52,0,0.139777320,0.139777320,20,12,1
692.284526039,2,8,55,0,0.139777181,0.139777181,20,12,1
694.353065767,6,3,54,0,0.139776590,0.139776590,20,12,1
695.425340909,4,3,55,0,0.139776590,0.139776590,20,12,1
699.174904137,7,8,55,0,0.139776592,0.139776592,20,12,1
702.424302528,2,6,56,1,0.279553670,0.279553670,20,12,1
704.353065767,6,3,55,0,0.139776590,0.139776590,20,12,1
705.425340909,4,3,56,0,0.139776590,0.139776590,20,12,1
709.314681316,7,2,56,1,0.279553771,0.279553771,20,12,1
710.633247551,1,0,57,0,0.139776590,0.139776590,20,12,1
714.492842602,6,1,56,1,0.279553425,0.279553425,20,12,1
719.404519306,3,7,56,0,0.139776835,0.139776835,20,12,1
720.633247551,1,2,58,0,0.139776590,0.139776590,20,12,1
722.284525448,2,1,58,0,0.139776590,0.139776590,20,12,1
725.425341154,4,0,58,0,0.139776835,0.139776835,20,12,1
729.174904380,7,3,58,0,0.139776835,0.139776835,20,12,1
730.633247796,1,3,59,0,0.139776835,0.139776835,20,12,1
735.425341154,4,2,59,0,0.139776835,0.139776835,20,12,1
739.174904380,7,3,59,0,0.139776835,0.139776835,20,12,1
740.633247796,1,5,60,0,0.139776835,0.139776835,20,12,1
742.284526178,2,7,60,0,0.139777320,0.139777320,20,12,1
744.353065767,6,7,59,0,0.139776590,0.139776590,20,12,1
745.425341154,4,0,60,0,0.139776835,0.139776835,20,12,1
749.174904135,7,4,60,0,0.139776590,0.139776590,20,12,1
750.633248281,1,6,61,0,0.139777320,0.139777320,20,12,1
752.157494552,0,6,58,1,0.279553670,0.279553670,20,12,1
754.353066497,6,5,60,0,0.139777320,0.139777320,20,12,1
755.425341154,4,2,61,0,0.139776835,0.139776835,20,12,1
760.633247796,1,5,62,0,0.139776835,0.139776835,20,12,1
765.425341154,4,6,62,0,0.139776835,0.139776835,20,12,1
769.174904135,7,6,62,0,0.139776590,0.139776590,20,12,1
772.284526178,2,7,63,0,0.139777320,0.139777320,20,12,1
775.425341155,4,8,63,0,0.139776836,0.139776836,20,12,1
779.174904380,7,5,63,0,0.139776835,0.139776835,20,12,1
780.633247796,1,3,64,0,0.139776835,0.139776835,20,12,1
782.017718202,0,7,61,0,0.139777320,0.139777320,20,12,1
784.492842948,6,1,63,1,0.279553771,0.279553771,20,12,1
784.740307868,5,2,68,0,0.139776590,0.139776590,20,12,1
785.425340909,4,1,64,0,0.139776590,0.139776590,20,12,1
789.174904135,7,6,64,0,0.139776590,0.139776590,20,12,1
790.633247551,1,2,65,0,0.139776590,0.139776590,20,12,1
795.425341155,4,8,65,0,0.139776836,0.139776836,20,12,1
799.174904137,7,8,65,0,0.139776592,0.139776592,20,12,1
799.544296487,3,1,64,1,0.279554016,0.279554016,20,12,1
802.017717717,0,4,63,0,0.139776835,0.139776835,20,12,1
802.284525448,2,5,66,0,0.139776590,0.139776590,20,12,1
804.353065767,6,7,65,0,0.139776590,0.139776590,20,12,1
805.425340909,4,1,66,0,0.139776590,0.139776590,20,12,1
809.174904865,7,2,66,0,0.139777320,0.139777320,20,12,1
809.404519791,3,2,65,0,0.139777320,0.139777320,20,12,1
812.017717472,0,3,64,0,0.139776590,0.139776590,20,12,1
812.284525693,2,4,67,0,0.139776835,0.139776835,20,12,1
815.425340909,4,5,67,0,0.139776590,0.139776590,20,12,1
819.174904135,7,4,67,0,0.139776590,0.139776590,20,12,1
819.404519061,3,6,66,0,0.139776590,0.139776590,20,12,1
820.633247551,1,0,68,0,0.139776590,0.139776590,20,12,1
822.017718063,0,6,65,0,0.139777181,0.139777181,20,12,1
824.353065767,6,3,67,0,0.139776590,0.139776590,20,12,1
825.425341154,4,2,68,0,0.139776835,0.139776835,20,12,1
829.174904380,7,3,68,0,0.139776835,0.139776835,20,12,1
830.633247551,1,0,69,0,0.139776590,0.139776590,20,12,1
832.284525448,2,1,69,0,0.139776590,0.139776590,20,12,1
834.353066358,6,8,68,0,0.139777181,0.139777181,20,12,1
835.425340909,4,3,69,0,0.139776590,0.139776590,20,12,1
839.174904135,7,6,69,0,0.139776590,0.139776590,20,12,1
839.544296242,3,2,68,1,0.279553771,0.279553771,20,12,1
840.633247551,1,2,70,0,0.139776590,0.139776590,20,12,1
844.353065767,6,3,69,0,0.139776590,0.139776590,20,12,1
844.740308598,5,6,74,0,0.139777320,0.139777320,20,12,1
845.425341154,4,2,70,0,0.139776835,0.139776835,20,12,1
850.633247551,1,2,71,0,0.139776590,0.139776590,20,12,1
852.157494553,0,8,68,1,0.279553671,0.279553671,20,12,1
854.353065767,6,7,70,0,0.139776590,0.139776590,20,12,1
859.174904380,7,5,71,0,0.139776835,0.139776835,20,12,1
859.404519061,3,6,70,0,0.139776590,0.139776590,20,12,1
860.633247551,1,4,72,0,0.139776590,0.139776590,20,12,1
862.284525448,2,5,72,0,0.139776590,0.139776590,20,12,1
864.353065767,6,7,71,0,0.139776590,0.139776590,20,12,1
864.826450287,8,6,73,0,0.139777181,0.139777181,20,12,1
865.425340909,4,5,72,0,0.139776590,0.139776590,20,12,1
869.174904865,7,0,72,0,0.139777320,0.139777320,20,12,1
869.404519061,3,6,71,0,0.139776590,0.139776590,20,12,1
870.633247551,1,2,73,0,0.139776590,0.139776590,20,12,1
874.492843087,6,2,72,1,0.279553910,0.279553910,20,12,1
875.425340909,4,3,73,0,0.139776590,0.139776590,20,12,1
879.404519061,3,4,72,0,0.139776590,0.139776590,20,12,1
880.633248282,1,8,74,0,0.139777321,0.139777321,20,12,1
882.017718202,0,5,71,0,0.139777320,0.139777320,20,12,1
882.284526178,2,7,74,0,0.139777320,0.139777320,20,12,1
884.353066358,6,8,73,0,0.139777181,0.139777181,20,12,1
884.740308113,5,1,78,0,0.139776835,0.139776835,20,12,1
885.425340909,4,7,74,0,0.139776590,0.139776590,20,12,1
889.174904865,7,0,74,0,0.139777320,0.139777320,20,12,1
889.404519061,3,4,73,0,0.139776590,0.139776590,20,12,1
892.284526528,2,6,75,0,0.139777670,0.139777670,20,12,1
894.353065767,6,3,74,0,0.139776590,0.139776590,20,12,1
895.425340909,4,3,75,0,0.139776590,0.139776590,20,12,1
899.174904380,7,5,75,0,0.139776835,0.139776835,20,12,1
