timestamp(s),nodeId,destination,nextHop,hops,score,seq,action
378.203851437,8,7,7,1,1,6,USED
378.226146913,3,7,8,2,3,6,USED
378.241123005,0,5,7,2,2,4,USED
378.366040199,2,4,4,1,1,5,USED
378.460710825,4,8,8,1,1,6,USED
378.486059863,1,8,5,2,4,6,USED
378.655553857,6,7,7,1,1,6,USED
378.759718254,5,0,0,1,1,4,USED
378.958782531,7,4,4,1,1,4,USED
379.203851437,8,7,7,1,1,6,USED
379.226146913,3,2,2,1,1,5,USED
379.241123005,0,6,6,1,1,6,USED
379.366040199,2,5,5,1,2,5,USED
379.460710825,4,3,3,1,1,6,USED
379.486059863,1,2,4,2,2,6,USED
379.655553857,6,4,4,1,1,5,USED
379.759718254,5,6,4,2,2,5,USED
379.958782531,7,4,4,1,1,4,USED
380.203851437,8,4,4,1,1,1,USED
380.226146913,3,0,0,1,1,6,USED
380.241123005,0,2,3,2,2,6,USED
380.366040199,2,1,1,1,1,5,USED
380.460710825,4,8,8,1,1,6,USED
380.486059863,1,4,4,1,1,6,USED
380.655553857,6,2,3,2,2,5,USED
380.759718254,5,7,8,2,3,6,USED
380.958782531,7,2,5,2,2,6,USED
381.203851437,8,7,7,1,1,6,USED
381.226146913,3,2,2,1,1,5,USED
381.241123005,0,3,3,1,1,6,USED
381.366040199,2,4,4,1,1,5,USED
381.460710825,4,5,5,1,1,5,USED
381.486059863,1,5,5,1,2,6,USED
381.655553857,6,4,4,1,1,5,USED
381.759718254,5,7,8,2,3,6,USED
381.958782531,7,3,3,1,1,5,USED
382.203851437,8,6,7,2,3,6,USED
382.226146913,3,8,8,1,2,6,USED
382.241123005,0,1,1,1,1,5,USED
382.366040199,2,1,1,1,1,5,USED
382.460710825,4,2,2,1,1,5,USED
382.486059863,1,7,7,1,1,2,USED
382.655553857,6,8,8,1,1,4,USED
382.759718254,5,0,0,1,1,4,USED
382.958782531,7,4,4,1,1,4,USED
383.203851437,8,5,5,1,1,5,USED
383.226146913,3,0,0,1,1,6,USED
383.241123005,0,3,3,1,1,6,USED
383.366040199,2,1,1,1,1,5,USED
383.460710825,4,1,1,1,1,5,USED
383.486059863,1,6,4,2,2,6,USED
383.655553857,6,2,3,2,2,5,USED
383.759718254,5,1,1,1,2,5,USED
383.958782531,7,2,5,2,2,6,USED
384.203851437,8,7,7,1,1,6,USED
384.226146913,3,2,2,1,1,5,USED
384.241123005,0,3,3,1,1,6,USED
