timestamp(s),nodeId,src,seq,dst,ttl,hops,rssi(dBm),battery(mV),score,sf,energyJ,energyFrac,forwarded,ok
331.203851437,8,8,1,0,63,0,0,4199,48,8,3885.434439809,0.999340134,0,1
331.226146913,3,3,24,4,63,0,0,4199,48,8,3883.854810361,0.998933850,0,1
331.241123005,0,0,26,2,63,0,0,4199,48,8,3884.014180529,0.998974841,0,1
331.460710825,4,4,2,1,63,0,0,4199,48,8,3884.873353996,0.999195822,0,1
331.486059863,1,1,24,3,63,0,0,4199,48,8,3884.021672810,0.998976768,0,1
331.655553857,6,6,29,1,63,0,0,4199,48,8,3883.506744627,0.998844327,0,1
331.759718254,5,5,23,7,63,0,0,4199,48,8,3884.052157988,0.998984609,0,1
331.899494846,8,5,23,7,62,1,0,4199,48,8,3885.358165086,0.999320516,1,1
332.203851437,8,8,2,2,63,0,0,4199,48,8,3885.296028760,0.999304534,0,1
332.226146913,3,3,25,2,63,0,0,4199,48,8,3883.776782545,0.998913782,0,1
332.241123005,0,0,27,4,63,0,0,4199,48,8,3883.948037297,0.998957829,0,1
332.460710825,4,4,3,8,63,0,0,4199,48,8,3884.801268471,0.999177281,0,1
332.486059863,1,1,25,2,63,0,0,4199,48,8,3883.949587285,0.998958227,0,1
332.655553857,6,6,30,8,63,0,0,4199,48,8,3883.434659102,0.998825787,0,1
332.759718254,5,5,24,6,63,0,0,4199,48,8,3883.980072463,0.998966068,0,1
333.203851437,8,8,3,4,63,0,0,4199,48,8,3885.223943235,0.999285994,0,1
333.226146913,3,3,26,5,63,0,0,4199,48,8,3883.698754728,0.998893713,0,1
333.241123005,0,0,28,7,63,0,0,4199,48,8,3883.875951773,0.998939288,0,1
333.460710825,4,4,4,2,63,0,0,4199,48,8,3884.735125239,0.999160269,0,1
333.486059863,1,1,26,3,63,0,0,4199,48,8,3883.883444053,0.998941215,0,1
333.655553857,6,6,31,1,63,0,0,4199,48,8,3883.362573578,0.998807246,0,1
333.759718254,5,5,25,7,63,0,0,4199,48,8,3883.907986939,0.998947528,0,1
333.899494846,8,5,25,7,62,1,0,4199,48,8,3885.153610805,0.999267904,1,1
334.203851437,8,8,4,5,63,0,0,4199,48,8,3885.091474479,0.999251922,0,1
334.226146913,3,3,27,7,63,0,0,4199,48,8,3883.620726911,0.998873644,0,1
334.241123005,0,0,29,5,63,0,0,4199,48,8,3883.803866248,0.998920747,0,1
334.460710825,4,4,5,2,63,0,0,4199,48,8,3884.663039715,0.999141728,0,1
334.486059863,1,1,27,6,63,0,0,4199,48,8,3883.805416236,0.998921146,0,1
334.655553857,6,6,32,5,63,0,0,4199,48,8,3883.296430346,0.998790234,0,1
334.759718254,5,5,26,7,63,0,0,4199,48,8,3883.835901414,0.998928987,0,1
334.899494846,8,5,26,7,62,1,0,4199,48,8,3885.021142048,0.999233833,1,1
335.203851437,8,8,5,3,63,0,0,4199,48,8,3884.959005722,0.999217851,0,1
335.226146913,3,3,28,7,63,0,0,4199,48,8,3883.554583679,0.998856632,0,1
335.241123005,0,0,30,6,63,0,0,4199,48,8,3883.731780724,0.998902207,0,1
335.460710825,4,4,6,8,63,0,0,4199,48,8,3884.590954190,0.999123188,0,1
335.486059863,1,1,28,7,63,0,0,4199,48,8,3883.733330712,0.998902606,0,1
335.655553857,6,6,33,4,63,0,0,4199,48,8,3883.224344821,0.998771694,0,1
335.759718254,5,5,27,1,63,0,0,4199,48,8,3883.763815890,0.998910446,0,1
336.203851437,8,8,6,2,63,0,0,4199,48,8,3884.892862490,0.999200839,0,1
336.226146913,3,3,29,5,63,0,0,4199,48,8,3883.482498154,0.998838091,0,1
336.241123005,0,0,31,4,63,0,0,4199,48,8,3883.665637492,0.998885195,0,1
336.460710825,4,4,7,3,63,0,0,4199,48,8,3884.524810958,0.999106176,0,1
336.486059863,1,1,29,5,63,0,0,4199,48,8,3883.661245187,0.998884065,0,1
336.655553857,6,6,34,4,63,0,0,4199,48,8,3883.152259297,0.998753153,0,1
336.759718254,5,5,28,0,63,0,0,4199,48,8,3883.697672658,0.998893434,0,1
337.203851437,8,8,7,2,63,0,0,4199,48,8,3884.826719258,0.999183827,0,1
337.226146913,3,3,30,7,63,0,0,4199,48,8,3883.404470337,0.998818022,0,1
337.241123005,0,0,32,4,63,0,0,4199,48,8,3883.599494260,0.998868183,0,1
337.460710825,4,4,8,3,63,0,0,4199,48,8,3884.458667726,0.999089164,0,1
337.486059863,1,1,30,5,63,0,0,4199,48,8,3883.589159663,0.998865525,0,1
337.655553857,6,6,35,2,63,0,0,4199,48,8,3883.086116065,0.998736141,0,1
337.759718254,5,5,29,1,63,0,0,4199,48,8,3883.631529426,0.998876422,0,1
337.795330447,3,6,35,2,62,1,0,4199,48,8,3883.334866316,0.998800120,1,1
338.203851437,8,8,8,2,63,0,0,4199,48,8,3884.748691441,0.999163758,0,1
338.226146913,3,3,31,0,63,0,0,4199,48,8,3883.272001581,0.998783951,0,1
338.241123005,0,0,33,3,63,0,0,4199,48,8,3883.533351028,0.998851171,0,1
338.343628029,5,8,8,2,62,1,0,4199,48,8,3883.561840581,0.998858498,1,1
338.460710825,4,4,9,6,63,0,0,4199,48,8,3884.392524494,0.999072151,0,1
338.486059863,1,1,31,0,63,0,0,4199,48,8,3883.517074138,0.998846984,0,1
338.655553857,6,6,36,5,63,0,0,4198,48,8,3883.014030540,0.998717600,0,1
338.759718254,5,5,30,4,63,0,0,4199,48,8,3883.493118377,0.998840823,0,1
339.203851437,8,8,9,0,63,0,0,4199,48,8,3884.682548209,0.999146746,0,1
339.226146913,3,3,32,6,63,0,0,4199,48,8,3883.199916056,0.998765411,0,1
339.241123005,0,0,34,4,63,0,0,4199,48,8,3883.467207796,0.998834158,0,1
339.343628029,5,8,9,0,62,1,0,4199,48,8,3883.423429532,0.998822899,1,1
339.460710825,4,4,10,0,63,0,0,4199,48,8,3884.326381262,0.999055139,0,1
339.486059863,1,1,32,2,63,0,0,4199,48,8,3883.450930906,0.998829972,0,1
339.655553857,6,6,37,7,63,0,0,4198,48,8,3882.941945016,0.998699060,0,1
