timestamp(s),nodeId,kind,bytes,src,dst,seq,hops,sf
730.759718254,5,data,27,5,8,422,0,8
730.958782531,7,data,27,7,4,390,0,8
731.000395817,3,beacon,30,3,65535,13,0,7
731.203851437,8,data,27,8,1,401,0,8
731.226146913,3,data,27,3,6,424,0,8
731.241123005,0,data,27,0,2,426,0,8
731.343628029,7,data,27,8,1,401,1,8
731.366040199,2,data,27,2,5,376,0,8
731.460710825,4,data,27,4,6,402,0,8
731.486059863,1,data,27,1,3,424,0,8
731.655553857,6,data,27,6,4,429,0,8
731.759718254,5,data,27,5,7,423,0,8
731.899495089,1,data,27,5,7,423,1,8
731.958782531,7,data,27,7,8,391,0,8
732.203851437,8,data,27,8,2,402,0,8
732.226146913,3,data,27,3,6,425,0,8
732.241123005,0,data,27,0,3,427,0,8
732.343628029,5,data,27,8,2,402,1,8
732.366040199,2,data,27,2,6,377,0,8
732.460710825,4,data,27,4,5,403,0,8
732.486059863,1,data,27,1,3,425,0,8
732.655553857,6,data,27,6,7,430,0,8
732.759718254,5,data,27,5,4,424,0,8
732.847284098,7,beacon,30,7,65535,13,0,8
733.017780098,7,data,27,7,1,392,0,8
733.157556933,3,data,27,7,1,392,1,8
733.203851437,8,data,27,8,6,403,0,8
733.241123005,0,data,27,0,5,428,0,8
733.317812933,3,data,27,3,7,426,0,8
733.366040199,2,data,27,2,4,378,0,8
733.460710825,4,data,27,4,3,404,0,8
733.486059863,1,data,27,1,4,426,0,8
733.655553857,6,data,27,6,0,431,0,8
733.759718254,5,data,27,5,0,425,0,8
733.958782531,7,data,27,7,8,393,0,8
734.203851437,8,data,27,8,2,404,0,8
734.226146913,3,data,27,3,2,427,0,8
734.241123005,0,data,27,0,1,429,0,8
734.343628029,5,data,27,8,2,404,1,8
734.366040199,2,data,27,2,7,379,0,8
734.460710825,4,data,27,4,2,405,0,8
734.486059863,1,data,27,1,7,427,0,8
734.655553857,6,data,27,6,1,432,0,8
734.759718254,5,data,27,5,0,426,0,8
734.958782531,7,data,27,7,2,394,0,8
735.098559366,5,data,27,7,2,394,1,8
735.203851437,8,data,27,8,6,405,0,8
735.226146913,3,data,27,3,0,428,0,8
735.241123005,0,data,27,0,1,430,0,8
735.366040199,2,data,27,2,5,380,0,8
735.460710825,4,data,27,4,3,406,0,8
735.486059863,1,data,27,1,4,428,0,8
735.655553857,6,data,27,6,3,433,0,8
735.759718254,5,data,27,5,3,427,0,8
735.958782531,7,data,27,7,1,395,0,8
736.098559366,3,data,27,7,1,395,1,8
736.203851437,8,data,27,8,6,406,0,8
736.241123005,0,data,27,0,5,431,0,8
736.258815366,3,data,27,3,7,429,0,8
736.366040199,2,data,27,2,3,381,0,8
736.460710825,4,data,27,4,5,407,0,8
736.486059863,1,data,27,1,5,429,0,8
736.655553857,6,data,27,6,0,434,0,8
736.759718254,5,data,27,5,1,428,0,8
736.958782531,7,data,27,7,6,396,0,8
737.203851437,8,data,27,8,1,407,0,8
737.226146913,3,data,27,3,4,430,0,8
737.241123005,0,data,27,0,7,432,0,8
737.343628029,7,data,27,8,1,407,1,8
737.366040199,2,data,27,2,8,382,0,8
737.460710825,4,data,27,4,1,408,0,8
737.486059863,1,data,27,1,3,430,0,8
737.655553857,6,data,27,6,0,435,0,8
